#,ID,Date,Description,Mode,Category,Sub Category,Amount,Balance,FCU Identified
43,43,07-11-2021,NFS/NNND07/CASH WDL/14-06-77,inft,withdrawal,recharge,5677.48,2346450.64,Fraud Identified
44,44,07-11-2021,"VPS/Hodge, Bennett and Harvey/487710110878/Port Bobbymouth",upi,withdrawal,fuel,4160.89,2751217.91,
45,45,07-11-2021,APBS/IOC Ref No3000041498/9061182243503,other,subsidy,other,133.48,4182.33,
46,46,08-11-2021,ATM DEC CHG/30-09-78/GST,imps,withdrawal,fuel,7855.31,1785864.24,Verified
47,47,08-11-2021,BY CASH-GURGAON - PALAM VIHAR,cash,deposit,other,48000,52182.33,
48,48,09-11-2021,APBS/IOC Ref No938941818/76756578069844,vps,withdrawal,bounce,-2600.22,2608817.69,
49,49,09-11-2021,UPI/575341093666/NO REMARKS/fraziernoah@upi/Mccoyshire,upi,subsidy,other,3562.26,3389922.43,
50,50,09-11-2021,IPS/MASTER FUEL/264424349302/000000000980/North Wendy,inft,expenses,fuel,2191.02,4638149.76,
51,51,10-11-2021,VPS/Mcguire-Rush/695564072677/West Brian,atm,expenses,other,-1365.12,900427.37,
52,52,10-11-2021,NFS/NBND07/CASH WDL/15-10-00,inft,subsidy,bounce,1601.46,4502219.55,Verified
53,53,10-11-2021,IPS/MASTER FUEL/463549406227/000000000980/South Nicholaschester,atm,subsidy,bounce,7500.74,4498237.33,
54,54,11-11-2021,MMT/IMPS/931418572327/NA/Ranjeet/ SBIN0006887,imps,other debit,other,-2705.9,49476.43,
55,55,11-11-2021,NFS/ID102001/CASH WDL/11-11-19,atm,withdrawal,other,-10000,39476.43,
56,56,14-11-2021,NFS/PZND07/CASH WDL/07-10-74,imps,expenses,bounce,154.92,1646988.88,Fraud Identified
57,57,14-11-2021,ACH/AXAPK4225C-AY2021-20/CE19114741085,ach,income,dividend,7220,46696.43,
58,58,15-11-2021,BIL/RCHG/7364080251/Vodafone -/474-568-1724,upi,withdrawal,loan,-3178.54,560141.64,Verified
59,59,15-11-2021,ATM DEC CHG/16-07-94/GST,imps,reversal credit,bounce,866.35,1058656.49,Fraud Identified
60,60,15-11-2021,INF/INFT/696590409415/Smith-Ball /Heather,atm,subsidy,loan,5416.46,4097466.88,Fraud Identified
61,61,15-11-2021,VPS/MEDICA HOSP/202111150354/931822500854/P ATNA,vps,expenses,medical,-30000,16696.43,
62,62,15-11-2021,VPS/MEDICA HOSP/202111151350/931908523588/P ATNA,vps,expenses,medical,-2093,14603.43,
63,63,15-11-2021,VPS/MEDICA HOSP/202111152101/931915553298/P ATNA,vps,expenses,medical,-909,13694.43,
64,64,16-11-2021,APBS/IOC Ref No9949758430/51302249361648,atm,withdrawal,other,6055.9,1318245.96,Fraud Identified
65,65,16-11-2021,UPI/98267997840/NO REMARKS/nhoward@upi/Port Eric,atm,other credit,other,-1157.82,4200457.03,Verified
66,66,16-11-2021,VPS/MEDICA HOSP/202111161512/932009561129/P ATNA,vps,expenses,medical,-4408,9286.43,
67,67,16-11-2021,VPS/MEDICA HOSP/202111161823/932012592149/P ATNA,vps,expenses,medical,-304,8982.43,
68,68,17-11-2021,APBS/IOC Ref No9491279256/78190012135220,inft,reversal credit,other,2306.43,3759978.13,Verified
69,69,18-11-2021,APBS/IOC Ref No2731446271/20123973288641,imps,withdrawal,other,-4720.32,1513542.61,Verified
70,70,18-11-2021,VPS/MEDICA HOSP/202111171501/932109543862/P ATNA,vps,expenses,medical,-1694,7288.43,
71,71,19-11-2021,BIL/RCHG/8402286471/Vodafone -/633-645-8857x129,imps,withdrawal,recharge,5924.54,483466.88,Verified
72,72,19-11-2021,INF/INFT/492483526000/Bullock and Sons /Samantha,inft,withdrawal,loan,5286.33,678658.05,Verified
73,73,19-11-2021,APBS/IOC Ref No6754590941/33246966670578,atm,other credit,loan,1314.54,3532224.62,Fraud Identified
74,74,19-11-2021,MMT/IMPS/932315847916/Work dharmender/Dgarmender/A,imps,other debit,other,-5005.9,2282.53,
75,75,19-11-2021,BIL/RCHG/001851139780/Vodafone -/9386178468,bill online,expenses,recharge,-26,2256.53,
76,76,19-11-2021,BIL/RCHG/001851140933/Vodafone -/9386178468,bill online,expenses,recharge,-9,2247.53,
77,77,20-11-2021,INF/INFT/134109412687/Porter LLC /Jimmy,ecs,other credit,recharge,4737.98,562536.36,
78,78,20-11-2021,MMT/IMPS/932417412656/MB: MANISH/SONAL SRI/KOTAK,imps,Salary (analysed),other,5000,7247.53,Discontinuity in credits/ receivables
79,79,21-11-2021,ACH/INDUSIND BANK CFD/222681817,ach,other debit,other,-3573,3674.53,
80,80,22-11-2021,IPS/MASTER FUEL/462457609832/000000000980/Matthewland,atm,withdrawal,fuel,-4476.08,251910.83,
81,81,23-11-2021,"VPS/Williams, Wright and Frye/409414382427/Lake Virginia",imps,other credit,loan,3820.9,1185380.75,Verified
82,82,23-11-2021,NFS/OMND07/CASH WDL/15-05-76,atm,subsidy,loan,3976.12,2542650.64,Verified
83,83,23-11-2021,INF/INFT/710081209051/Powell and Sons /Christopher,atm,other credit,fuel,8559.15,3774533.84,Fraud Identified
84,84,24-11-2021,BIL/RCHG/9565130169/Vodafone -/386-670-2490,atm,other credit,recharge,6169.17,4023035.73,Verified
85,85,24-11-2021,NFS/XUND07/CASH WDL/15-05-89,ecs,reversal credit,bounce,4164.61,4123631.37,Verified
86,86,25-11-2021,NFS/NFND07/CASH WDL/23-02-04,vps,other credit,fuel,-1157.77,1764307.75,Verified
87,87,25-11-2021,BIL/RCHG/001854170790/Airtel -D/9821315054,bill online,expenses,recharge,-399,3275.53,
88,88,25-11-2021,VPS/PUNJABI DHA/202111242152/932816519351/G URGAON,vps,other debit,other,-2016,1259.53,
89,89,26-11-2021,BIL/RCHG/6892151060/Vodafone -/(991)484-3942,imps,expenses,bounce,1046.39,3935405.19,
90,90,26-11-2021,IPS/AUTO CARE C/202111260943/000000011826/GUR GAON,ips,expenses,shopping,-208.43,1051.1,
91,91,26-11-2021,CLG/SONAL SRIVASTAVA/559754/SBI/24.10.2021,cheque,other credit,other,1000,2051.1,
92,92,27-11-2021,MMT/IMPS/933108845703/Work/Dilip/I BKL0001836,imps,other debit,other,-1005.9,1045.2,
93,93,28-11-2021,VPS/Cole Ltd/435218003698/Robertmouth,vps,expenses,recharge,6581.98,1182013.59,Fraud Identified
94,94,28-11-2021,BIL/RCHG/3432820307/Vodafone -/531-643-4695x7339,vps,withdrawal,other,-3603.41,2397002.73,Fraud Identified
95,95,29-11-2021,IPS/MASTER FUEL/510297880076/000000000980/East Marcus,imps,other credit,other,-2569.42,2003226.02,Fraud Identified
96,96,29-11-2021,IPS/MASTER FUEL/71867251026/000000000980/Port Joshua,vps,reversal credit,other,2668.33,3282025.38,Verified
97,97,29-11-2021,BY CASH-GURGAON - NEW RAILWAY ROAD,cash,deposit,other,40000,41045.2,
98,98,30-11-2021,ATM DEC CHG/06-02-84/GST,imps,reversal credit,other,-3453.21,4122688.54,
99,99,30-11-2021,IPS/AUTO CARE C/202111301240/000000012981/GUR GAON,ips,expenses,shopping,-307.68,40737.52,
100,100,30-11-2021,INF/INFT/021745787661/AB ENTERPRISES,inft,other credit,other,2500,43237.52,
101,101,30-11-2021,VPS/SPENCERS /202111302057/933415464611/GURG AON,vps,other debit,other,-2858.49,40379.03,
102,102,01-12-2021,IPS/MASTER FUEL/601409078755/000000000980/Hancockshire,inft,withdrawal,bounce,5484.7,1730979.43,
103,103,01-12-2021,BIL/RCHG/9532810522/Vodafone -/785.807.8920,atm,other credit,recharge,-2296.88,2091417.86,
104,104,02-12-2021,IPS/MASTER FUEL/227916392593/000000000980/Taraport,ecs,reversal credit,recharge,-4904.86,1686894.18,Verified
105,105,02-12-2021,VPS/Smith-Olson/103531667712/Greentown,ecs,withdrawal,recharge,2048.93,1912776.39,Verified
106,106,02-12-2021,CMS/000585251940/BAJAJ_AUTO_C D__580DPFFC021540,cms,loan,auto,-1499,38880.03,
107,107,02-12-2021,MMT/IMPS/933618405655/Work/Dgar mender/ALLA0212572,imps,other debit,other,-10005.9,28874.13,
108,108,03-12-2021,UPI/48432624863/NO REMARKS/annette31@upi/Lake Timothy,vps,reversal credit,other,-1588.77,1754192.74,
109,109,03-12-2021,ATM DEC CHG/11-11-86/GST,ecs,withdrawal,fuel,9223.64,2367581.14,
110,110,03-12-2021,VPS/Jones-Hall/121473310125/Lopezland,imps,withdrawal,fuel,7115.55,2461765.95,Verified
111,111,03-12-2021,APBS/IOC Ref No4146228752/63579864249373,imps,expenses,other,3945.42,4006616.05,
112,112,03-12-2021,NFS/OBND07/CASH WDL/30-09-00,inft,expenses,loan,3612.8,4592289.03,
113,113,04-12-2021,NFS/GFND07/CASH WDL/24-09-86,imps,subsidy,loan,2771.44,937870.13,Verified
114,114,04-12-2021,VPS/Chan and Sons/193220737966/Brandyhaven,vps,expenses,loan,-2040,2241071,Verified
115,115,04-12-2021,"INF/INFT/508086590661/Reed, Brown and Smith /Sherri",atm,expenses,loan,-1234.05,2266012.77,Verified
116,116,04-12-2021,BIL/RCHG/1952708943/Vodafone -/200.291.8637x84046,upi,expenses,recharge,3171.43,2647999.16,Fraud Identified
117,117,04-12-2021,UPI/757833048114/NO REMARKS/christopherlong@upi/Serranoberg,inft,other credit,recharge,3519.17,4009833.14,Verified
118,118,06-12-2021,BIL/RCHG/6173885908/Vodafone -/001-546-561-2054x437,upi,other credit,loan,2306.48,84673.79,Verified
119,119,06-12-2021,ATM DEC CHG/31-03-75/GST,inft,other credit,other,-2041.62,592410.54,Verified
120,120,06-12-2021,NFS/PVND07/CASH WDL/01-08-01,vps,other credit,loan,-175.22,1518531.85,
121,121,07-12-2021,UPI/297571065712/NO REMARKS/wreynolds@upi/Coxmouth,vps,expenses,other,-4160.94,998871.47,Fraud Identified
122,122,07-12-2021,VPS/Miller Group/417186738584/Calvinport,vps,withdrawal,other,3655.86,3284960.04,Verified
123,123,07-12-2021,VPS/YAJ FILLING/202112071739/934112141838 /GURGAON,vps,other debit,other,-1060,27814.13,
124,124,08-12-2021,UPI/189174224734/NO REMARKS/sdelacruz@upi/New Barbarafort,ecs,expenses,other,7828.34,3570104.94,Verified
125,125,09-12-2021,INF/INFT/777070436061/Brown PLC /Paula,vps,expenses,fuel,-4794.53,2017802.04,Fraud Identified
126,126,09-12-2021,NFS/CZND07/CASH WDL/19-03-77,upi,withdrawal,bounce,6595.77,4235490.34,Verified
127,127,09-12-2021,VPS/BP 38 /202112081205/934206647426/GURG AON,vps,other debit,other,-210,27604.13,
128,128,09-12-2021,APBS/IOC Ref No3000048335/9061287849832,other,subsidy,other,142.33,27746.46,
129,129,10-12-2021,APBS/IOC Ref No1112506044/89869954188032,atm,other credit,loan,9071.74,1990582.71,Verified
130,130,10-12-2021,LTGURXX42921 DEC19 Manish Kum,other,loan,other,-3291,24455.46,
131,131,10-12-2021,MMT/IMPS/934422411982/NA/Dgarme nder/ALLA0212572,imps,other debit,other,-4005.9,20449.56,
132,132,11-12-2021,ATM DEC CHG/12-07-85/GST,vps,reversal credit,fuel,7235.38,4317458,
133,133,11-12-2021,ATM DEC CHG/25-11-97/GST,ecs,withdrawal,fuel,1216.74,4574679.76,Fraud Identified
134,134,11-12-2021,VPS REF YAJ FILLING STATION,vps,reversal credit,other,7.95,20457.51,
135,135,12-12-2021,APBS/IOC Ref No1828803163/77980632326513,upi,other credit,fuel,2413.74,1673996.55,
136,136,12-12-2021,VPS/KARMVEER FI/202112121032/934605347308/GUR GAON,vps,other debit,other,-310,20147.51,
137,137,12-12-2021,VISA REF BP 38,visa,reversal credit,other,1.58,20149.09,
138,138,13-12-2021,BIL/RCHG/2837196279/Vodafone -/723.250.9041,atm,other credit,recharge,-3366.12,2751418.54,
139,139,13-12-2021,UPI/332846823892/NO REMARKS/xarroyo@upi/Hugheston,imps,reversal credit,bounce,9112.69,4050297.26,
140,140,13-12-2021,BIL/RCHG/001870900963/Airtel DTH/3018748260,bill online,expenses,recharge,-445,19704.09,
141,141,13-12-2021,MMT/IMPS/934718295769/Adv/Sanjay ram/UTIB0001600,imps,other debit,other,-505.9,19198.19,
142,142,14-12-2021,VPS/Walter and Sons/569182480004/Cummingschester,ecs,withdrawal,recharge,-738.4,1717094.18,Fraud Identified
143,143,15-12-2021,NFS/CVND07/CASH WDL/11-02-77,ecs,withdrawal,other,8256.66,965632.96,Fraud Identified
144,144,16-12-2021,APBS/IOC Ref No4284264380/18840711127593,atm,subsidy,other,873.94,411719.35,Fraud Identified
145,145,16-12-2021,BIL/RCHG/5368974804/Vodafone -/(781)646-6504,vps,reversal credit,fuel,960.54,563822.74,
146,146,16-12-2021,APBS/IOC Ref No7136651514/25232033776190,atm,withdrawal,recharge,1344.99,2729489.04,Verified
147,147,16-12-2021,VPS/AKASHI FILL/202112141838/934813141600/GU RGAON,vps,other debit,other,-410,18788.19,
148,148,16-12-2021,MMT/IMPS/934819737033/Work adv/Sanjay ram/UTIB0001,imps,other debit,other,-1005.9,17782.29,
149,149,16-12-2021,MMT/IMPS/934918705416/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-2005.9,15776.39,
150,150,16-12-2021,VPS/EASY DAY /202112152017/934914599409/GURG AON,vps,other debit,other,-1402.5,14373.89,
151,151,16-12-2021,VPS/MSW MOOL CH/202112160152/934920001005/Delh i NC,vps,other debit,other,-280,14093.89,
152,152,17-12-2021,IPS/MASTER FUEL/113469989098/000000000980/New Dianemouth,vps,subsidy,loan,6239.59,397069.42,
153,153,17-12-2021,NFS/UEND07/CASH WDL/07-01-04,ecs,subsidy,other,788.01,730150.07,Fraud Identified
154,154,17-12-2021,INF/INFT/653003687967/Walker-Hayden /Melissa,imps,subsidy,loan,7385.03,3385135.34,
155,155,17-12-2021,VPS REF KARMVEER FILLING STATI,vps,reversal credit,other,2.33,14096.22,
156,156,18-12-2021,NFS/NOND07/CASH WDL/04-10-98,inft,reversal credit,other,3128.9,1275015.59,Fraud Identified
157,157,18-12-2021,VPS/KARMVEER FI/202112181133/935206637963/GUR GAON,vps,other debit,other,-310,13786.22,
158,158,19-12-2021,IPS/MASTER FUEL/895817429493/000000000980/West Juliehaven,ecs,other credit,other,-1358.57,499056.11,Fraud Identified
159,159,19-12-2021,"VPS/Ruiz, Allen and Juarez/416298510760/East Seanmouth",ecs,expenses,loan,2519.54,1630493.74,Fraud Identified
160,160,19-12-2021,VPS REF AKASHI FILLING STATION,vps,reversal credit,other,3.08,13789.3,
161,161,19-12-2021,MMT/IMPS/935321399032/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-2005.9,11783.4,
162,162,20-12-2021,IPS/MASTER FUEL/341138864960/000000000980/Lake Claudiabury,upi,withdrawal,other,-338.56,1658634.56,Fraud Identified
163,163,20-12-2021,BIL/RCHG/1199883773/Vodafone -/+1-700-526-3175x235,imps,other credit,other,-2007.76,2912113.48,Verified
164,164,20-12-2021,VPS/KARMVEER FI/202112201056/935405926355/GUR GAON,vps,other debit,other,-310,11473.4,
165,165,21-12-2021,"INF/INFT/402704820470/Davis, Lopez and Adkins /Janice",vps,expenses,bounce,-4736.94,471116.77,Fraud Identified
166,166,21-12-2021,UPI/532168842196/NO REMARKS/sarah25@upi/Lake Courtneymouth,inft,withdrawal,other,1349.07,1246620.58,Fraud Identified
167,167,21-12-2021,NFS/MWND07/CASH WDL/02-07-97,vps,expenses,loan,2385.03,2983918.06,
168,168,21-12-2021,ACH/INDUSIND BANK CFD/222681818,ach,other debit,other,-3573,7900.4,
169,169,23-12-2021,VPS/KARMVEER FI/202112221210/935606506101/GUR GAON,vps,other debit,other,-310,7590.4,
170,170,23-12-2021,MMT/IMPS/935617475709/Work pay/Sanjay ram/UTIB0001,imps,other debit,other,-2005.9,5584.5,
171,171,23-12-2021,SMSChgsOct19-Dec19+GST,other,tax debit,other,-17.7,5566.8,
172,172,23-12-2021,VPS REF KARMVEER FILLING STATI,vps,reversal credit,other,2.33,5569.13,
173,173,24-12-2021,BIL/RCHG/6321205908/Vodafone -/(898)513-4081x719,upi,withdrawal,loan,8818.57,4531692.77,Fraud Identified
174,174,24-12-2021,MMT/IMPS/935813754295/NA/Dilip/IB KL0001836,imps,other debit,other,-2005.9,3563.23,
175,175,24-12-2021,VPS REF KARMVEER FILLING STATI,vps,reversal credit,other,2.33,3565.56,
176,176,24-12-2021,VPS/KARMVEER FI/202112241835/935813411075/GUR GAON,vps,other debit,other,-310,3255.56,
177,177,24-12-2021,MMT/IMPS/935818592955/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-1005.9,2249.66,
178,178,25-12-2021,INF/INFT/424811311127/Lawrence-Mccann /Tina,upi,reversal credit,loan,6096.69,509129.11,
179,179,25-12-2021,BIL/RCHG/1049675346/Vodafone -/913-844-2594,ecs,withdrawal,recharge,598.69,754616.33,Fraud Identified
180,180,26-12-2021,NFS/FTND07/CASH WDL/20-05-01,upi,expenses,other,2005.54,1877863.42,
181,181,26-12-2021,IPS/MASTER FUEL/638985942693/000000000980/Bennettburgh,vps,withdrawal,bounce,3019.9,3316052.85,Fraud Identified
182,182,26-12-2021,VPS/PVR LIMITED/202112251802/935912179207/GURGAON,vps,other debit,other,-188,2061.66,
183,183,26-12-2021,VPS/PVR LIMITED/202112251807/935912185340/GURGAON,vps,other debit,other,-188,1873.66,
184,184,26-12-2021,VPS/PVR LIMITED/202112251818/935912199467/GURGAON,vps,other debit,other,-593,1280.66,
185,185,27-12-2021,APBS/IOC Ref No1360185104/63617201065153,inft,expenses,recharge,-4627.59,1385135.96,Fraud Identified
186,186,27-12-2021,MMT/IMPS/936108754313/MB: MANISH/SONAL SRI/KOTAK,imps,Salary (analysed),other,50000,51280.66,"Suspicious Salary Credits, Irregular Salary Credits, Discontinuity in credits/ receivables"
187,187,27-12-2021,MMT/IMPS/936109403273/NA/AJIT KUMAR/SBIN0007234,imps,other debit,other,-50005.9,1274.76,
188,188,27-12-2021,VPS REF KARMVEER FILLING STATI,vps,reversal credit,other,2.33,1277.09,
189,189,28-12-2021,APBS/IOC Ref No483990800/57065098247805,imps,expenses,loan,2355.96,1581251.9,
190,190,28-12-2021,BIL/RCHG/1476224470/Vodafone -/+1-680-566-7807x45413,upi,subsidy,recharge,6202.66,2738680.56,
191,191,29-12-2021,APBS/IOC Ref No3423403588/24652549938260,vps,reversal credit,other,8791.27,3747458.48,Verified
192,192,29-12-2021,UPI/502239009563/NO REMARKS/elizabeth68@upi/Herreraville,ecs,subsidy,recharge,1002.6,3827464.38,
193,193,29-12-2021,IPS/MASTER FUEL/837484764413/000000000980/Jonesmouth,vps,expenses,bounce,-2852.24,4117660.44,Verified
194,194,30-12-2021,"VPS/Oneal, Miller and Myers/429453724480/Ramosburgh",inft,other credit,fuel,2651.66,1854515.54,Fraud Identified
195,195,30-12-2021,MMT/IMPS/936223557346/Work/Sanja y ram/UTIB0001600,imps,other debit,other,-505.9,771.19,
196,196,30-12-2021,MMT/IMPS/936320312987/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-505.9,265.29,
197,197,30-12-2021,MMT/IMPS/936323057770/MB: TRF/SONA ENTER/KOTAK MAH,imps,other credit,other,10000,10265.29,
198,198,30-12-2021,MMT/IMPS/936323532014/Work/Sanja y ram/UTIB0001600,imps,other debit,other,-1005.9,9259.39,
199,199,30-12-2021,APBS/IOC Ref No3000055111/9122822336835,other,subsidy,other,142.33,9401.72,
200,200,30-12-2021,VPS REF KARMVEER FILLING STATI,vps,reversal credit,other,2.33,9404.05,
201,201,30-12-2021,UPI/936417326311/Maa ko diye ho/nimishapraka@yb/HD,upi,other credit,other,10000,19404.05,
202,202,31-12-2021,NFS/KWND07/CASH WDL/12-06-02,vps,expenses,loan,-1735.06,2984711.68,Verified
203,203,31-12-2021,083901503669:Int.Pd:30-09-2021 to 30-12-2021,other,income,interest,106,19510.05,
204,204,31-12-2021,MMT/IMPS/936518176657/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-1005.9,18504.15,
205,205,31-12-2021,MMT/IMPS/936520417401/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-1005.9,17498.25,
206,206,31-12-2021,MMT/IMPS/936520417401/NA/Sanjay ram/UTIB0001600,imps,other credit,other,1005.9,18504.15,
207,207,31-12-2021,MMT/IMPS/936520417793/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-1005.9,17498.25,
208,208,31-12-2021,MMT/IMPS/936520417793/NA/Sanjay ram/UTIB0001600,imps,other credit,other,1005.9,18504.15,
209,209,31-12-2021,MMT/IMPS/936522757422/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-1005.9,17498.25,
210,210,31-12-2021,MMT/IMPS/936522757422/NA/Sanjay ram/UTIB0001600,imps,other credit,other,1005.9,18504.15,
211,211,31-12-2021,CMS/000596441525/BAJAJ_AUTO_C D__580DPFFC021540,cms,loan,auto,-1499,17005.15,
212,212,31-12-2021,BIL/RCHG/001884271432/Vodafone -/9711816337,bill online,expenses,recharge,-599,16406.15,
213,213,31-12-2021,MMT/IMPS/000113427071/NA/Sanjay ram/UTIB0001600,imps,other debit,other,-1005.9,15400.25,
214,214,31-12-2021,VPS/KARMVEER FI/202001021118/000205107464/GUR GAON,vps,other debit,other,-310,15090.25,
215,215,31-12-2021,NFS/MC003187/CASH WDL/03-01-20,atm,withdrawal,other,-10000,5090.25,
216,216,01-01-2022,UPI/744760324797/NO REMARKS/lindamiller@upi/Hannahton,vps,subsidy,bounce,6983.9,2829767.02,Verified
217,217,01-01-2022,VPS/KARMVEER FI/202001040952/000404437668/GUR GAON,vps,other debit,other,-310,4780.25,
218,218,01-01-2022,VPS/HPCL AUTO C/202001071032/000705174687/GUR GAON,vps,expenses,fuel,-307.68,4472.57,
219,219,01-01-2022,VPS REF KARMVEER FILLING STATI,vps,reversal credit,other,2.33,4474.9,
220,220,01-01-2022,INF/INFT/021870107051/Manish /AB ENTERPRIS,inft,other credit,other,2000,6474.9,
221,221,01-01-2022,VISA REF KARMVEER FILLING STATI,visa,reversal credit,other,2.33,6477.23,
222,222,02-01-2022,BIL/RCHG/3699621223/Vodafone -/001-412-901-9240x7290,ecs,reversal credit,fuel,9641.26,2317535.24,Verified
223,223,02-01-2022,VPS/Mendoza Group/40957832425/Kristenview,vps,other credit,loan,-4248.61,3956371.3,Verified
224,224,02-01-2022,VPS/FUEL JUNCTI/202001091511/000909386920 /GURGAON,vps,expenses,fuel,-310,6167.23,
225,225,02-01-2022,LTGURXX42921 JAN20 Manish Kum,other,loan,other,-3291,2876.23,
226,226,02-01-2022,IPS/RAJAN AUTO /202001111654/000000000032/GURG AON,ips,expenses,shopping,-310,2566.23,
227,227,02-01-2022,MMT/IMPS/001221881253/NA/Sanjay akh/SBIN0003370,imps,other debit,other,-505.9,2060.33,
